"RGIId","Albedo","Date","JlnDt","Year","Month","IAMMF_org","IAMMF_fast"
"RGI60-08.00449",NA,2001-01-02,2,"2001","01",93.5,93.5
"RGI60-08.00449",NA,2001-01-05,5,"2001","01",87,87
NA,NA,2001-01-06,6,"2001","01",86.5,86.5
NA,NA,2001-01-07,7,"2001","01",87,87
"RGI60-08.00449",NA,2001-01-08,8,"2001","01",87,87
"RGI60-08.00449",NA,2001-01-09,9,"2001","01",87,87
NA,NA,2001-01-10,10,"2001","01",87,87
NA,NA,2001-01-11,11,"2001","01",87,87
NA,NA,2001-01-12,12,"2001","01",87,87
NA,NA,2001-01-13,13,"2001","01",87,87
NA,NA,2001-01-14,14,"2001","01",87,87
"RGI60-08.00449",NA,2001-01-15,15,"2001","01",50,87
"RGI60-08.00449",NA,2001-01-16,16,"2001","01",50,87
"RGI60-08.00449",NA,2001-01-17,17,"2001","01",50,86.5
"RGI60-08.00449",NA,2001-01-18,18,"2001","01",100,86.5
"RGI60-08.00449",NA,2001-01-19,19,"2001","01",93.5,87
"RGI60-08.00449",NA,2001-01-20,20,"2001","01",87,87
"RGI60-08.00449",0,2001-01-21,21,"2001","01",86.5,87
"RGI60-08.00449",NA,2001-01-22,22,"2001","01",87,87
NA,NA,2001-01-23,23,"2001","01",87,87
NA,NA,2001-01-24,24,"2001","01",87,87
NA,NA,2001-01-25,25,"2001","01",87,87
NA,NA,2001-01-26,26,"2001","01",87,86.5
"RGI60-08.00449",NA,2001-01-27,27,"2001","01",87,86
NA,NA,2001-01-28,28,"2001","01",87,83.5
"RGI60-08.00449",NA,2001-01-29,29,"2001","01",87,81
"RGI60-08.00449",100,2001-01-30,30,"2001","01",87,81.5
"RGI60-08.00449",NA,2001-01-31,31,"2001","01",87,81
"RGI60-08.00449",NA,2001-02-01,32,"2001","02",86.5,81
"RGI60-08.00449",100,2001-02-02,33,"2001","02",86.5,81
"RGI60-08.00449",87,2001-02-03,34,"2001","02",87,87
"RGI60-08.00449",86,2001-02-04,35,"2001","02",87,87
"RGI60-08.00449",64,2001-02-05,36,"2001","02",81,87
"RGI60-08.00449",100,2001-02-06,37,"2001","02",87,86
NA,NA,2001-02-07,38,"2001","02",87,83.5
NA,NA,2001-02-08,39,"2001","02",78.5,83.5
NA,NA,2001-02-09,40,"2001","02",83.5,83.5
"RGI60-08.00449",NA,2001-02-10,41,"2001","02",83.5,83.5
NA,NA,2001-02-11,42,"2001","02",80,80
"RGI60-08.00449",NA,2001-02-12,43,"2001","02",80,80
NA,NA,2001-02-13,44,"2001","02",80,80
NA,NA,2001-02-14,45,"2001","02",80,76
NA,NA,2001-02-15,46,"2001","02",80,76
"RGI60-08.00449",64,2001-02-16,47,"2001","02",74,74
NA,NA,2001-02-17,48,"2001","02",77.5,77.5
"RGI60-08.00449",88,2001-02-18,49,"2001","02",74,74
NA,NA,2001-02-19,50,"2001","02",77.5,71
NA,NA,2001-02-20,51,"2001","02",77.5,77.5
NA,NA,2001-02-21,52,"2001","02",74,77.5
NA,NA,2001-02-22,53,"2001","02",78.5,77.5
"RGI60-08.00449",NA,2001-02-23,54,"2001","02",74,77.5
NA,NA,2001-02-24,55,"2001","02",78.5,77.5
"RGI60-08.00449",74,2001-02-25,56,"2001","02",76,76
"RGI60-08.00449",68,2001-02-26,57,"2001","02",74,74
"RGI60-08.00449",81,2001-02-27,58,"2001","02",74,74
"RGI60-08.00449",66,2001-02-28,59,"2001","02",74,74
"RGI60-08.00449",82,2001-03-01,60,"2001","03",74,74
"RGI60-08.00449",62,2001-03-02,61,"2001","03",74,74
NA,NA,2001-03-03,62,"2001","03",74,75
NA,NA,2001-03-04,63,"2001","03",74,75
NA,NA,2001-03-05,64,"2001","03",76,75
NA,NA,2001-03-06,65,"2001","03",75,75
NA,NA,2001-03-07,66,"2001","03",75,75
"RGI60-08.00449",76,2001-03-08,67,"2001","03",76,76
NA,NA,2001-03-09,68,"2001","03",75,75
NA,NA,2001-03-10,69,"2001","03",75,75
NA,NA,2001-03-11,70,"2001","03",75,75
NA,NA,2001-03-12,71,"2001","03",75,75
NA,NA,2001-03-13,72,"2001","03",75,75
NA,NA,2001-03-14,73,"2001","03",75,75
"RGI60-08.00449",76,2001-03-15,74,"2001","03",76,76
NA,NA,2001-03-16,75,"2001","03",76,76
"RGI60-08.00449",74,2001-03-17,76,"2001","03",76,76
"RGI60-08.00449",58,2001-03-18,77,"2001","03",76,76
"RGI60-08.00449",81,2001-03-19,78,"2001","03",76,74
NA,NA,2001-03-20,79,"2001","03",75,75
"RGI60-08.00449",NA,2001-03-21,80,"2001","03",75,75
"RGI60-08.00449",78,2001-03-22,81,"2001","03",77,77
"RGI60-08.00449",67,2001-03-23,82,"2001","03",77,74
"RGI60-08.00449",77,2001-03-24,83,"2001","03",77,77
NA,NA,2001-03-25,84,"2001","03",74,75
"RGI60-08.00449",79,2001-03-26,85,"2001","03",74,74
NA,NA,2001-03-27,86,"2001","03",74,73.5
"RGI60-08.00449",64,2001-03-28,87,"2001","03",74,74
NA,NA,2001-03-29,88,"2001","03",73.5,73.5
NA,NA,2001-03-30,89,"2001","03",73,73.5
NA,NA,2001-03-31,90,"2001","03",73.0714285714286,74.5
NA,NA,2001-04-01,91,"2001","04",73.1428571428571,71.5
NA,NA,2001-04-02,92,"2001","04",73.2142857142857,73.5
